Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-12-26,53237.0,54230.227611940296,53137.67723880597,54130.90485074627,10517075
2024-12-27,53700.0,54100.0,53200.0,53500.0,10747196
2024-12-30,53200.0,54000.0,53100.0,53300.0,12624702
2025-01-02,53400.0,53600.0,52300.0,52700.0,16630538
2025-01-03,54400.0,55100.0,52800.0,52800.0,19318046
2025-01-06,55900.0,56200.0,54300.0,54400.0,19034284
2025-01-07,55400.0,57300.0,55400.0,56800.0,17030235
2025-01-08,57300.0,57500.0,54700.0,54800.0,26593553
2025-01-09,56100.0,57700.0,56100.0,57600.0,24490592
2025-01-10,55300.0,56500.0,55200.0,56100.0,16059223
2025-01-13,54100.0,55000.0,54100.0,54600.0,16868600
2025-01-14,53900.0,54600.0,53700.0,54200.0,17465926
2025-01-15,53700.0,54700.0,53500.0,54100.0,18625025
2025-01-16,54300.0,55000.0,54100.0,54200.0,18627298
2025-01-17,53700.0,54100.0,53200.0,53800.0,18805344
2025-01-20,53400.0,53900.0,53300.0,53600.0,11822531
2025-01-21,53500.0,54300.0,53300.0,53700.0,13535702
2025-01-22,54300.0,54400.0,53100.0,53400.0,18341991
2025-01-23,53700.0,54100.0,53500.0,53700.0,15588067
2025-01-24,53700.0,53800.0,53200.0,53600.0,11867631
2025-01-31,52400.0,53000.0,51700.0,52200.0,42186279
2025-02-03,51000.0,51400.0,50800.0,51100.0,32344897
2025-02-04,52700.0,53600.0,51500.0,51600.0,27214851
2025-02-05,52900.0,53800.0,52800.0,53600.0,15974885
2025-02-06,54000.0,54000.0,53200.0,53400.0,16466025
2025-02-07,53700.0,54200.0,53600.0,53900.0,14476866
2025-02-10,55600.0,55900.0,52900.0,53000.0,27577591
2025-02-11,55700.0,56300.0,55000.0,55500.0,24596196
2025-02-12,55800.0,55900.0,54500.0,55100.0,26428596
2025-02-13,55800.0,56400.0,55600.0,56100.0,22448377
2025-02-14,56000.0,57300.0,56000.0,56000.0,23979779
2025-02-17,56000.0,56500.0,55700.0,56100.0,11916027
